,Unnamed: 0,all_titles,all_years,all_scores,all_meta,all_votes,all_gross,all_genres,id
2908,2908,The Musketeer,(2001),4.9,27        ,13678,"27,073,640","
Action, Adventure, Romance            ",tt0246544
2909,2909,The Story of Us,(1999),6.0,37        ,20471,"27,067,160","
Comedy, Drama, Romance            ",tt0160916
2910,2910,Guarding Tess,(1994),6.2,46        ,14806,"27,053,498","
Comedy, Drama            ",tt0109951
2911,2911,The Big Hit,(1998),6.1,31        ,27458,"27,052,167","
Action, Comedy, Crime            ",tt0120609
2912,2912,Home Again,(2017),5.8,41        ,24280,"27,020,284","
Comedy, Drama, Romance            ",tt5719700
2913,2913,Paulie,(1998),6.5,no,13613,"27,008,669","
Adventure, Comedy, Drama            ",tt0125454
2914,2914,Rush,(I) (2013),8.1,75        ,402040,"26,947,624","
Biography, Drama, Sport            ",tt1979320
2915,2915,The Women,(I) (2008),5.0,27        ,19538,"26,902,075","
Comedy, Drama            ",tt0430770
2916,2916,The Missing,(I) (2003),6.5,55        ,31572,"26,900,336","
Adventure, Thriller, Western            ",tt0338188
2917,2917,One Missed Call,(2008),4.0,24        ,29894,"26,876,529","
Horror, Mystery            ",tt0479968
2918,2918,xXx²: The Next Level,(2005),4.4,37        ,64716,"26,873,932","
Action, Adventure, Crime            ",tt0329774
2919,2919,Stick It,(2006),6.4,53        ,25482,"26,870,825","
Comedy, Drama, Sport            ",tt0430634
2920,2920,Going in Style,(1979),7.1,65        ,2710,"26,869,286","
Comedy, Crime, Drama            ",tt0079219
2921,2921,Hell or High Water,(II) (2016),7.6,88        ,182856,"26,862,450","
Action, Crime, Drama            ",tt2582782
2922,2922,Elizabethtown,(2005),6.4,45        ,65052,"26,838,389","
Comedy, Drama, Romance            ",tt0368709
2923,2923,Resident Evil: The Final Chapter,(2016),5.5,49        ,77200,"26,830,068","
Action, Horror, Sci-Fi            ",tt2592614
2924,2924,Glory,(1989),7.8,78        ,114729,"26,830,000","
Biography, Drama, History            ",tt0097441
2925,2925,Ricki and the Flash,(2015),5.9,54        ,21326,"26,822,144","
Comedy, Drama, Music            ",tt3623726
2926,2926,The Other Boleyn Girl,(2008),6.7,50        ,98462,"26,814,957","
Biography, Drama, History            ",tt0467200
2927,2927,Zombieland: Double Tap,(2019),7.2,56        ,26836,"26,803,104","
Action, Comedy, Horror            ",tt1560220
2928,2928,Eye for an Eye,(1996),6.2,no,12296,"26,792,700","
Crime, Drama, Thriller            ",tt0116260
2929,2929,Garden State,(2004),7.4,67        ,202481,"26,782,316","
Comedy, Drama, Romance            ",tt0333766
2930,2930,The Best of Me,(2014),6.7,29        ,61341,"26,761,283","
Drama, Romance            ",tt1972779
2931,2931,Bio-Dome,(1996),4.4,1        ,24875,"26,757,000","
Comedy            ",tt0115683
